Unnamed: 0,city,temp_max,humidity,cloudiness,url,lat,lon,date,wind_speed,country
geraldton,geraldton,66.2,63,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=geraldton,-28.77,114.6,1603807811,12.75,AU
mataura,mataura,42.01,90,12,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=mataura,-46.19,168.86,1603807949,2.33,NZ
lagoa,lagoa,63.55,69,100,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=lagoa,39.05,-27.98,1603807949,10.13,PT
zaysan,zaysan,46.69,48,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=zaysan,47.47,84.87,1603807949,3.18,KZ
cherskiy,cherskiy,5.02,94,46,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=cherskiy,68.75,161.3,1603807949,6.51,RU
bluff,bluff,42.01,90,2,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=bluff,-46.6,168.33,1603807806,8.61,NZ
hamilton,hamilton,46.99,93,90,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=hamilton,39.18,-84.53,1603807871,4.7,US
cape town,cape town,72.0,72,20,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=cape town,-33.93,18.42,1603807950,14.99,ZA
necochea,necochea,66.58,57,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=necochea,-38.55,-58.74,1603807950,10.0,AR
new norfolk,new norfolk,48.99,80,95,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=new norfolk,-42.78,147.06,1603807950,1.39,AU
inuvik,inuvik,12.2,85,90,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=inuvik,68.35,-133.72,1603807950,3.36,CA
rosetta,rosetta,80.6,54,40,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=rosetta,31.4,30.42,1603807950,9.17,EG
mar del plata,mar del plata,64.4,42,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=mar del plata,-38.0,-57.56,1603807764,9.17,AR
busselton,busselton,62.01,68,77,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=busselton,-33.65,115.33,1603807715,9.19,AU
cidreira,cidreira,63.99,83,86,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=cidreira,-30.18,-50.21,1603807950,18.81,BR
qaanaaq,qaanaaq,8.08,79,79,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=qaanaaq,77.48,-69.36,1603807951,11.14,GL
piranshahr,piranshahr,57.06,34,16,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=piranshahr,36.7,45.14,1603807951,3.96,IR
rikitea,rikitea,75.0,84,99,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=rikitea,-23.12,-134.97,1603807951,18.43,PF
chokurdakh,chokurdakh,6.67,95,100,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=chokurdakh,70.63,147.92,1603807951,4.16,RU
ushuaia,ushuaia,41.0,65,75,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=ushuaia,-54.8,-68.3,1603807657,24.16,AR
punta arenas,punta arenas,44.6,56,40,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=punta arenas,-53.15,-70.92,1603807701,17.22,CL
kruisfontein,kruisfontein,73.0,74,100,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=kruisfontein,-34.0,24.73,1603807951,4.0,ZA
butaritari,butaritari,80.92,68,100,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=butaritari,3.07,172.79,1603807951,8.03,KI
kieta,kieta,79.21,77,10,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=kieta,-6.22,155.63,1603807951,2.98,PG
macamic,macamic,12.2,92,40,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=macamic,48.75,-79.0,1603807951,4.7,CA
khasan,khasan,49.89,48,61,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=khasan,42.43,130.64,1603807951,19.3,RU
broken hill,broken hill,59.0,62,90,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=broken hill,-31.95,141.43,1603807952,8.05,AU
hermanus,hermanus,68.0,73,96,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=hermanus,-34.42,19.23,1603807952,8.99,ZA
barrow,barrow,19.4,85,75,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=barrow,71.29,-156.79,1603807952,12.75,US
mnogovershinnyy,mnogovershinnyy,27.5,98,1,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=mnogovershinnyy,53.94,139.92,1603807952,0.54,RU
lakes entrance,lakes entrance,54.0,94,78,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=lakes entrance,-37.88,147.98,1603807952,8.14,AU
kavieng,kavieng,82.38,68,17,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=kavieng,-2.57,150.8,1603807952,4.29,PG
saldanha,saldanha,69.8,56,100,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=saldanha,-33.01,17.94,1603807952,8.05,ZA
baruun-urt,baruun-urt,27.84,75,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=baruun-urt,46.68,113.28,1603807952,6.22,MN
bengkulu,bengkulu,77.52,81,89,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=bengkulu,-3.8,102.27,1603807656,2.57,ID
pangai,pangai,74.79,79,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=pangai,-19.8,-174.35,1603807952,18.39,TO
tamandare,tamandare,83.23,64,43,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=tamandare,-8.76,-35.1,1603807952,14.61,BR
alofi,alofi,71.6,88,50,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=alofi,-19.06,-169.92,1603807953,5.82,NU
caravelas,caravelas,80.89,72,99,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=caravelas,-17.71,-39.25,1603807953,6.22,BR
pevek,pevek,19.74,95,100,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=pevek,69.7,170.31,1603807930,16.78,RU
