city,temp_max,humidity,cloudiness,url,lat,lon,date,wind_speed,country
ribeira grande,69.8,52,40,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=ribeira grande,38.52,-28.7,1603815966,6.93,PT
codrington,46.67,93,19,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=codrington,-38.27,141.97,1603815958,6.76,AU
ruidoso,18.0,92,75,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=ruidoso,33.33,-105.67,1603815966,10.29,US
kamachumu,75.2,69,20,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=kamachumu,-1.62,31.62,1603815966,2.28,TZ
saint-philippe,77.0,69,90,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=saint-philippe,-21.36,55.77,1603815966,2.24,RE
vigo,61.0,100,90,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=vigo,42.23,-8.72,1603815933,12.75,ES
sabang,82.74,77,47,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=sabang,5.89,95.32,1603815967,18.37,ID
namatanai,79.54,78,54,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=namatanai,-3.67,152.43,1603815769,2.8,PG
thompson,24.8,73,90,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=thompson,55.74,-97.86,1603815948,5.82,CA
te anau,39.31,90,24,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=te anau,-45.42,167.72,1603815967,1.39,NZ
jamestown,46.0,87,90,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=jamestown,42.1,-79.24,1603815967,8.05,US
puerto ayora,73.4,78,75,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=puerto ayora,-0.74,-90.35,1603815967,11.41,EC
ushuaia,44.6,48,40,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=ushuaia,-54.8,-68.3,1603815967,19.46,AR
bourges,52.0,93,75,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=bourges,47.25,2.42,1603815967,12.75,FR
naze,68.0,82,75,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=naze,28.37,129.48,1603815967,1.12,JP
buraydah,84.2,18,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=buraydah,26.33,43.98,1603815793,6.93,SA
jefferson city,37.4,94,90,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=jefferson city,38.58,-92.17,1603815967,5.82,US
bethel,54.0,62,40,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=bethel,41.37,-73.41,1603815968,5.82,US
bonthe,85.32,69,83,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=bonthe,7.53,-12.51,1603815968,8.14,SL
