city,temp_max,humidity,cloudiness,url,lat,lon,date,wind_speed,country
durban,73.4,83,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=durban,-29.86,31.03,1603816009,11.41,ZA
nurlat,29.91,93,78,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=nurlat,54.43,50.81,1603815846,2.13,RU
nuuk,28.4,68,20,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=nuuk,64.18,-51.72,1603815919,6.93,GL
bougouni,93.04,20,100,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=bougouni,11.42,-7.48,1603815867,4.25,ML
tutoia,86.07,60,27,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=tutoia,-2.76,-42.27,1603816009,13.33,BR
arlit,90.1,11,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=arlit,18.74,7.39,1603816009,4.34,NE
carballo,59.0,100,75,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=carballo,43.21,-8.69,1603816009,8.05,ES
clarksburg,55.99,81,90,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=clarksburg,39.28,-80.34,1603816009,2.8,US
alibag,86.0,66,40,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=alibag,18.64,72.88,1603816009,3.36,IN
kimbe,75.87,87,51,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=kimbe,-5.55,150.14,1603816009,3.74,PG
tarko-sale,2.08,91,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=tarko-sale,64.92,77.78,1603816009,12.3,RU
trat,75.25,91,100,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=trat,12.5,102.5,1603816010,1.39,TH
beringovskiy,28.4,92,78,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=beringovskiy,63.05,179.32,1603816010,10.56,RU
iquitos,89.6,66,75,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=iquitos,-3.75,-73.25,1603816010,6.93,PE
puerto palomas,28.4,68,75,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=puerto palomas,31.77,-107.62,1603816010,21.92,MX
mirzapur,73.4,60,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=mirzapur,25.15,82.58,1603816010,4.7,IN
luis correia,87.33,57,56,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=luis correia,-2.88,-41.67,1603815912,13.62,BR
kholmogory,39.2,93,90,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=kholmogory,64.22,41.66,1603816010,4.47,RU
beloha,71.89,77,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=beloha,-25.17,45.05,1603816010,15.59,MG
ayame,79.7,88,97,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=ayame,5.61,-3.16,1603816010,4.97,CI
port hedland,73.4,83,40,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=port hedland,-20.32,118.57,1603816010,3.36,AU
mabaruma,89.31,54,21,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=mabaruma,8.2,-59.78,1603816010,7.07,GY
beruwala,79.72,85,100,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=beruwala,6.48,79.98,1603816010,4.41,LK
rongcheng,59.54,90,29,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=rongcheng,30.63,117.85,1603816011,3.62,CN
guerrero negro,65.62,28,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=guerrero negro,27.98,-114.06,1603816011,10.83,MX
santa rosalia,65.61,38,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=santa rosalia,27.32,-112.28,1603816011,10.29,MX
