,Hotel Name,City,Country,Lat,Lng
0,ABC Girls' Hostel, Meghalaya, India,25.5211351,90.2221308
3,"Motel Bar Hut ,, ,,", Chukotka Autonomous Okrug, Russia,64.7361647,177.5039247
4,VEER Teja hostel, Rajasthan, India,27.1504746,74.8500336
8,Hotel Isabeles, Sonora, Mexico,30.7072211,-111.825727
14,"Reabilitatsionnyy Tsentr ""Ramenskoye""", Moscow Oblast, Russia,55.6298817,38.1215234
15,بافت خیابان طالقانی غربی ساختمان مادر, Kerman Province, Iran,29.2327784,56.60705340000001
16,Apartment on Gornyakov, Krasnoyarsk Krai, Russia,69.4879328,88.3939786
18,Aksay Meshiti, Moscow Oblast, Russia,55.75080000000001,37.9974879
21,دفتر پیشخوان دولت جمال زهی (خالد), Sistan and Baluchestan Province, Iran,28.2171113,61.21680399999999
22,Hotel Jardines Baja, Baja California, Mexico,30.4867496,-115.938713
23,Cocheras Mitre, San Luis Province, Argentina,-33.3006665,-66.3411338
27,Sai Tower, Odisha, India,20.4769004,82.9243877
32,Hut House, Uttar Pradesh, India,28.452126,79.805065
37,Circuit House, Arunachal Pradesh, India,27.9195402,96.1707002
38,Shri Krishna Dharmshala, Bihar, India,26.2342706,84.1512219
39,旅館昌龍館, Fukushima, Japan,37.0518318,140.8803724
40,Hotel Gala * *, Buenos Aires Province, Argentina,-38.5518798,-58.7406511
41,Jinghao Business Hotel, Shantou, Guangdong Province,23.197073,116.62882
